AFRICAN-AMERICAN MUSEUM,701-19 ARCH ST
AGAPE CHRISTIAN CHAPEL,4935-47 GREENE ST
AGAPE LOVE MINISTRIES CHURCH,1001-13 S 52ND ST
AGAPE TABERNACLE CHURCH,1500 W ALLEGHENY AVE
AL PEARLMAN SPORTS COMPLEX,600 PORT ROYAL AVE
AL-AQSA ISLAMIC ACADEMY,1501-11 GERMANTOWN AVE
AL-AQSA ISLAMIC SOCIETY,1501-11 GERMANTOWN AVE
ALAIN LOCKE ELEMENTARY SCHOOL,4420 HAVERFORD AVE
ALBERT M GREENFIELD ELEMENTARY SCHOOL,2200-24 CHESTNUT ST
ALEXANDER ADAIRE SCHOOL,1300 E PALMER ST
ALEXANDER K. MCCLURE ELEMENTARY SCHOOL,4134 N 6TH ST
ALEXANDER VON HUMBOLDT,MARTIN LUTHER KING JR DR NEAR BLACK RD
ALEXANDRA RESIDENCE HALL,4201-47 WOODLAND AVE
ALL SAINTS CEMETERY,2651 BUCKIUS ST
ALL SAINTS CHURCH,2651 BUCKIUS ST
ALL SAINTS EPISCOPAL CHURCH,7935-47 FRONTENAC ST
ALL SAINTS EPISCOPAL CHURCH,9571 FRANKFORD AVE
ALL SAINTS EPISCOPAL CHURCH CEMETERY,9571 FRANKFORD AVE
ALL SAINTS EPISCOPAL SCHOOL KINDERGARTEN,9571 FRANKFORD AVE
ALL SAINTS SCHOOL,4629 E THOMPSON ST
ALL WARS MEMORIAL TO COLORED SOLDIERS AND SAILORS,200 N 19TH ST
ALLEGHENY CD & COMMUNITY PRESCHOOL,1618-20 WOMRATH ST
ALLEGHENY STATION,3178 KENSINGTON AVE
ALLEGHENY VALLEY SCHOOL,9990 VERREE RD
ALLEN AME CHURCH,5901 LARCHWOOD AVE
ALLEN HALL,2035 S COLLEGE AVE
ALLEN M. STEARNE SCHOOL,4401 PAUL ST
ALLENS LANE ART CENTER,621 W ALLENS LN
ALLENS LANE RECREATIONAL/ART CENTER BUILDING,621 W ALLENS LN
ALLENS LANE SHELTER,6375 WISSAHICKON AVE
ALLEYNE MEMORIAL AME ZION CHURCH,1249-55 N 55TH ST
ALLIANCE FOR PROGRESS CHARTER SCHOOL,1821-39 CECIL B MOORE AVE
ALLIANCE FOR PROGRESS CHARTER SCHOOL (ANNEX),1628-32 N 16TH ST
ALLIANCE OF YOUTH MISSION MINISTRIES,3036-40 N 22ND ST
ALOYSIUS L. FITZPATRICK SCHOOL,11061 KNIGHTS RD
ALPHA HOUSE NURSERY SCHOOL AND KINDERGARTEN,9801 FRANKFORD AVE
ALPHABET ACADEMY,1720 E PASSYUNK AVE
ALTER HALL,1801 N BROAD ST
ALTERNATIVE EDUCATION REGIONAL CENTER,4224-50 N FRONT ST
ALTHEA GIBSON COMMUNITY EDUCATION & TENNIS CENTER,1000-38 W GIRARD AVE
ALUMNI HALL,4201-47 WOODLAND AVE
ALUMNI HALL,800-34 WALNUT ST
ALUMNI HOUSE,5700-30 CITY AVE
AMBASSADOR SEED OF LOVE CHURCH,1718-22 W SUSQUEHANNA AVE
AMBASSADOR SHOPPING CENTER,10101 VERREE RD
AMBASSADORS FOR CHRIST BAPTIST CHURCH,2026 CHELTEN AVE
AMERICAN CATHOLIC HISTORICAL SOCIETY,263 S 4TH ST
AMERICAN COLLEGE OF PHYSICIANS,170 N INDEPENDENCE MALL W
AMERICAN LEGION,155-59 E SHARPNACK ST
AMERICAN LEGION PLAYGROUND,6201 TORRESDALE AVE
AMERICAN LEGION PLAYGROUND BUILDING,6201 TORRESDALE AVE
AMERICAN PHILOSOPHICAL SOCIETY,400-34 CHESTNUT ST
AMERICAN RED CROSS BLOOD DONATION CENTER,1401-11 RHAWN ST
AMERICAN RED CROSS BLOOD DONATION CENTER,700-40 SPRING GARDEN ST
AMERICAN WAR MOTHER AND HER SONS,1901 LINDLEY AVE
AMERICAN-SWEDISH HISTORICAL MUSEUM,3500 S BROAD ST
AMONGST MEN,2801 S 84TH ST
AMOS HEALING MISSIONARY BAPTIST CHURCH,4553 LANCASTER AVE
AMOS PLAYGROUND BUILDING,1801 N BROAD ST
AMOS RECREATION CENTER,1817-59 N 16TH ST
ANATOMY / CHEMISTRY,3401 CIVIC CENTER BLVD
ANDERSON HALL,1801 N BROAD ST
ANDORRA NATURAL AREA,9001 LYKENS LN
ANDORRA SHOPPING CENTER,701 CATHEDRAL RD
ANDREWS GREGG CURTIN,N CONCOURSE DR
ANDREWS HAMILTON SCHOOL,5624 SPRUCE ST
ANDREWS J. MORRISON SCHOOL,300 W DUNCANNON AVE
ANDREWS JACKSON SCHOOL,1130-48 FEDERAL ST
ANDREWS MUTCH BUILDING,3800 POWELTON AVE
ANGELA JANE PAVILION REHABILITATION HOSPITAL,8400 E ROOSEVELT BLVD
ANIMAL & VECTOR CONTROL FACILITY,111-31 W HUNTING PARK AVE
ANIMAL MEDICAL CLINIC,1401 S 13TH ST
ANN KIDS PRE-SCHOOL,10102 JAMISON AVE
ANNA B PRATT EARLY CHILDHOOD CENTER,2200-26 N 22ND ST
ANNA BLAKISTON DAY SCHOOL,6324-42 CRITTENDEN ST
ANNA L. LINGELBACH ELEMENTARY SCHOOL,6340 WAYNE AVE
ANNE FRANK ELEMENTARY SCHOOL,2001 LOTT AVE
ANNENBERG CENTER,3401-99 SPRUCE ST
ANNENBERG HALL,1801 N BROAD ST
ANNENBERG PUBLIC POLICY CENTER,3401-99 SPRUCE ST
ANNENBERG SCHOOL,3401-99 SPRUCE ST
ANNUNCIATION BVM CHURCH,1501 S 10TH ST
ANSELM HALL - BROTHERS? RESIDENCE,625-35 E WISTER ST
ANTIOCH CHRISTIAN FELLOWSHIP,4721-23 CHESTNUT ST
ANTONIA PANTOJA CHARTER SCHOOL,4101 N AMERICAN ST
APOSTOLIC CHURCH INTERNATIONAL,5536 CHESTER AVE
APOSTOLIC UNIVERSAL HOLINESS CHURCH,50-52 N 52ND ST
APPLE CHILD CARE CENTER,6901 HAWTHORNE ST
AQUINAS HALL,9801 FRANKFORD AVE
ARAMARK TOWER,1101-11 MARKET ST
ARAMINGO CROSSINGS,3800 ARAMINGO AVE
ARAMINGO VILLAGE,2300 CASTOR AVE
ARCH STREET MEETINGHOUSE,312-38 ARCH ST
ARCH STREET PRESBYTERIAN CHURCH,1726-32 ARCH ST
ARCH STREET UNITED METHODIST CHURCH,1344-48 ARCH ST
ARCHBISHOP RYAN HIGH SCHOOL,11201 ACADEMY RD
ARCHER HALL,3300 W SCHOOL HOUSE LN
ARCHITECTURE BUILDING,1801 N BROAD ST
ARCHITECTURE AND DESIGN CENTER,3300 W SCHOOL HOUSE LN
ARCHIVES AND SPECIAL COLLECTIONS ON WOMEN IN MEDICINE,2900 W QUEEN LN
AREA HEALTH,9501 E ROOSEVELT BLVD
ARIA HEALTH- FRANKFORD CAMPUS,4900-40 FRANKFORD AVE
ARIA HEALTH- TORRESDALE CAMPUS,10800 KNIGHTS RD
ARK OF SALVATION,3001-05 N 5TH ST
ARLEN SPECTER CENTER FOR PUBLIC SERVICE,3300 W SCHOOL HOUSE LN
ARMORY/GYMNASIUM,2035 S COLLEGE AVE
ARROW FIELD STORAGE BUILDING,640 W WALNUT LN
ART CENTER,3300 W SCHOOL HOUSE LN
ARTS ACADEMY AT BENJAMIN RUSH HIGH SCHOOL,11081 KNIGHTS RD
ASAMBLEA APOSTOLICA,109 W ONTARIO ST
ASCENSION MAR THOMA CHURCH,10197-99 NORTHEAST BLVD
ASCENSION OF OUR LORD CHURCH,701-21 E WESTMORELAND ST
ASCENSION OF OUR LORD SCHOOL,735-65 E WESTMORELAND ST
ASHTON VILLAGE,9218-28 ASHTON RD
ASHWOOD HALL,5700-30 CITY AVE
ASOCIACION PUERTORRIQUENOS,445-47 W LURAY ST
ASOCIACION PUERTORRIQUENOS,600 DIAMOND ST
ASSEMBLY OF GOD CHURCH,6629-37 W GIRARD AVE
ASSEMBLY OF GOD OF PHILADELPHIA,2930 HOLME AVE
ASSOCIATED DAY CARE SERVICE INCORPORATED,719 JACKSON ST
ASSUMPTION OF THE HOLY VIRGIN,2101 S 28TH ST
ATHENAEUM OF PHILADELPHIA,219-21 S 6TH ST
ATHLETIC RECREATION CENTER,1401-55 N 27TH ST
ATHLETIC RECREATION CENTER BUILDING,1401-55 N 27TH ST
ATHLETIC/RECREATION CENTER (ARC),4201-47 WOODLAND AVE
ATLANTIC BUILDING,258-62 S BROAD ST
ATLANTIC TERMINAL (PRIVATELY DEVELOPED HOUSING),1801 N BROAD ST
ATMOSPHERE & ENVIRONMENT,2500 SPRING GARDEN ST
ATRIA CENTER CITY,150 N 20TH ST
ATWATER KENT MUSEUM,13-17 S 7TH ST
AUSTIN MEEHAN MS,3001 RYAN AVE
AUTO IMPOUNDMENT LOT,7990 PENROSE FERRY RD
AUTOPARK AT JEFFERSON,800-34 WALNUT ST
AVENIR ON 15TH,30-36 S 15TH ST
AVERY HADDINGTON ELEMENTARY SCHOOL,5300-34 BALTIMORE AVE
AVIATION INSTITUTE OF MAINTENANCE,3001 GRANT AVE
AVIATOR PARK,200 N 19TH ST
AWBURY ARBORETUM,5 AWBURY RD
AWBURY PLAYGROUND BUILDING,6101 ARDLEIGH ST
AWBURY RECREATION CENTER,6101 ARDLEIGH ST
AXIS,3401-99 SPRUCE ST
B M OAKLEY MEMORIAL TEMPLE,1533-39 N 7TH ST
BNY MELLON CENTER,1735 MARKET ST
BRB 2,3401 CIVIC CENTER BLVD
BUSTLETON SOMERTON SHOPPING CENTER,10801-75 BUSTLETON AVE
BACHE / MARTIN SCHOOL,2201 BROWN ST
BACHE / MARTIN SCHOOL,801 N 22ND ST
BAINBRIDGE GREEN,300 BAINBRIDGE ST
BAKER PLAYGROUND,5431-43 LANSDOWNE AVE
BAKER PLAYGROUND BUILDING,5431-43 LANSDOWNE AVE
BAKERS CENTER,2800 FOX ST
BALA GOLF COURSE,2400 BELMONT AVE
BALDI PLAYGROUND,8725 VERREE RD
BALDI SCHOOL PLAYGROUND,8725 VERREE RD
BAMBI EDUCATIONAL DAY CARE CENTER,500 RED LION RD
BANKER HALL,2035 S COLLEGE AVE
BAPTIST CHURCH OF BRIDESBURG,4500-04 SALMON ST
BAPTIST USHERS BROTHERHOOD,3951 LANCASTER AVE
BARBARA AND DAVID LOEB PERFORMING ARTS CENTER,5443-61 GREENE ST
BARBELIN/LONERGAN HALL,5700-30 CITY AVE
BARDASCINO PARK,1000 S 10TH ST
BARNES & NOBLE UNIVERSITY BOOKSTORE,4201-47 WOODLAND AVE
BARNES FOUNDATION,2025L BENJAMIN FRANKLIN PKWY
BARRACK HALL,1801 N BROAD ST
BARNETT PLAYGROUND,641 LINDLEY AVE
BARNETT PLAYGROUND BUILDING,641 LINDLEY AVE
BARRINGER BUILDING,800-34 WALNUT ST
BARRY HALL,5700-30 CITY AVE
BARRY PLAYGROUND,1800 JOHNSTON ST
BARRY PLAYGROUND BUILDING 1,1800 JOHNSTON ST
BARRY PLAYGROUND BUILDING 2,1800 JOHNSTON ST
BARTRAM MOTIVATION HIGH SCHOOL,2515 S 78TH ST
BARTRAM'S GARDEN,2901 S 56TH ST
BARTRAM'S MILE,3000 S 56TH ST
BARTRAM'S SOUTH,3101 S 56TH ST
BARTRAMS GARDEN PICNIC SHELTER,2901 S 56TH ST
BARTRAMS GARDENS BARN 1,2901 S 56TH ST
BARTRAMS GARDENS CARRIAGE HOUSE,2901 S 56TH ST
BARTRAMS GARDENS GIFT SHOP,2901 S 56TH ST
BASILICA GREEN,201-07 N 18TH ST
BASKETBALL COURT KENSINGTON & CUMBERLAND AVENUE,2459-77 KENSINGTON AVE
BAWA MUHAIYADDEEN FELLOWSHIP,5820 OVERBROOK AVE
BAXTER FILTER PLANT,9201 N DELAWARE AVE
BAXTER RAW WATER BASIN DAM,9201 N DELAWARE AVE
BAXTER TRAIL PROJECT,8201 STATE RD
BAYARD TAYLOR ELEMENTARY SCHOOL,3630 N RANDOLPH ST
BAYARD TAYLOR SCHOOL ANNEX,602-04 W ERIE AVE
BEACON PRESBYTERIAN CHURCH,2356-64 E CUMBERLAND ST
BEANSTALK,729-33 E PASSYUNK AVE
BECK PARK,839 S 2ND ST
BEGINNINGS LEARNING CENTER PRE-K,620 S 10TH ST
BEIT HARAMBAM ORTHODOX SYNAGOGUE,9981 VERREE RD
BELLAIRE SHOPPING CENTER,9855-89 BUSTLETON AVE
BELFIELD RECREATION CENTER,2109 W CHEW AVE
BELFIELD RECREATION CENTER BUILDING,2109 W CHEW AVE
BELIEVE RESTORATION CHRISTIAN CENTER CHURCH,3102 FRANKFORD AVE
BELL PARKING GARAGE,1801 N BROAD ST
BELL TELEPHONE BUILDING,1500-06 N 16TH ST
BELL TELEPHONE BUILDING,26-34 W CHELTEN AVE
BELL TELEPHONE BUILDING,5638-52 CHESTNUT ST
BELL TELEPHONE BUILDING,8318-24 GERMANTOWN AVE
BELL'S CORNER,8318-60 BUSTLETON AVE
BELL'S CORNER SHOPPING CENTER,8318-60 BUSTLETON AVE
BELLAIRE MANOR,1954 PATTISON AVE
BELLAIRE MANOR BAKEHOUSE,1954 PATTISON AVE
BELLARMINE HALL,5700-30 CITY AVE
BELLET BUILDING,1501-11 RACE ST
BELLS MILL COMFORT STATION,230 BELLS MILL RD
BELMONT & EDGLEY CRICKET FIELD,4105 EDGLEY AVE
BELMONT ACADEMY CHARTER SCHOOL ELEMENTARY SCHOOL,4025-69 WESTMINSTER AVE
BELMONT BALL ATHLETIC FIELD,BELMONT MANSION DR
BELMONT CENTER FOR COMPREHENSIVE TREATMENT,4200 MONUMENT RD
BELMONT CHARTER SCHOOL,4030-60 BROWN ST
BELMONT MANSION BUILDING,2000 BELMONT MANSION DR
BELMONT MANSION GAZEBO,2000 BELMONT MANSION DR
BELMONT PLATEAU,1800 BELMONT MANSION DR
BELMONT SCHOOL PLAYGROUND,4030-60 BROWN ST
BELMONT WATER TREATMENT PLANT,2701-99 BELMONT AVE
BELMONT WATER TREATMENT PLANT,4300 CITY AVE
BELOVED BAPTIST,2107-09 W TORONTO ST
BELOVED ST JOHN EVANGELISTIC CHURCH,4541 N BROAD ST
BEN BARKAN PARK,4936-58 SPRUCE ST
BENJAMIN FRANKLIN HOUSE 834 CHESTNUT,800-34 WALNUT ST
BENJAMIN B. COMEGYS ELEMENTARY SCHOOL,5001-35 GREENWAY AVE
BENJAMIN FRANKLIN HIGH SCHOOL,548 N BROAD ST
BENJAMIN FRANKLIN MUSEUM AND COURT,314-22 MARKET ST
BENJAMIN FRANKLIN PARKWAY,BENJAMIN FRANKLIN PKWY
BENJAMIN L.JOHNSTON MEMORIAL STADIUM,1101-51 E GORGAS LN
BENNETT INDUSTRIAL PARK,1900-40 BYBERRY RD
BENSALEM SHELTER,8600 E ROOSEVELT BLVD
BENSON PARK,1442R-44 N 4TH ST
BERACHAH BAPTIST CHURCH,1970 CHELTEN AVE
BEREAN BAPTIST CHURCH,2433-39 W INDIANA AVE
BEREAN INSTITUTE,1901-45 W GIRARD AVE
BEREAN PRESBYTERIAN CHURCH,2101-07 N BROAD ST
BERKS STATION,1901 N FRONT ST
BERRY LONG MEMORIAL METHODIST CHURCH,1737 S 58TH ST
BETH TOVIM,5871 DREXEL RD
BETHANY AME CHURCH,8838 ASHTON RD
BETHANY ACADEMY,6537 RISING SUN AVE
BETHANY BAPTIST CHURCH,460 RHAWN ST
BETHANY BAPTIST CHURCH,5749 WARRINGTON AVE
BETHANY HOUSE OF WORSHIP,1070 69TH AVE
BETHANY INDONESIAN CHURCH-GOD,1705 S BROAD ST
BETHANY LUTHERAN CHURCH,401 MARTIN ST
BETHANY LUTHERAN CHURCH CEMETERY,376 MARTIN ST
BETHANY UNITED CHURCH-CHRIST,6537 RISING SUN AVE
BETHEL AME CHURCH-GERMANTOWN,6149-53 GERMANTOWN AVE
BETHEL BAPTIST CHURCH,2210 E SUSQUEHANNA AVE
BETHEL CHAPEL CHURCH,4100 K ST
BETHEL CHURCH OF CHRIST,1431-33 N 20TH ST
BETHEL EVANGELISTIC CHURCH,1647-57 N 3RD ST
BETHEL HIGHWAY CHURCH-CHRIST,4221-29 ASPEN ST
BETHEL HOLY TEMPLE CHURCH,3220 N 16TH ST
BETHEL MAR THOMA CHURCH,532 LEVICK ST
BETHEL PHILADELPHIA MILLS,903 FRANKLIN MILLS CIR
BETHEL PRESBYTERIAN CHURCH,1900-14 W YORK ST
BETHEL TEMPLE CHURCH OF CHRIST,2564 N 31ST ST
BETHEL TEMPLE COMMUNITY BIBLE CHURCH,228-34 E ALLEGHENY AVE
BETHEL UNITED CHURCH OF CHRIST,6101-15 MASCHER ST
BETHEM BAPTIST CHURCH,3151 W DAKOTA ST
BETHESDA UNITED METHODIST CHURCH,2820-24 E VENANGO ST
BETHLEHEM ASSEMBLY OF GOD,6527 WOODLAND AVE
BETHLEHEM OF DELIVERANCE JOSHUA ACHIEVEMENT CENTER,2014-16 W BERKS ST
BETSY ROSS HOUSE,239 ARCH ST
BETSY ROSS HOUSE,239-47 ARCH ST
BETTER DAYS FAMILY CHILD CARE,1632 S 23RD ST
BETTER LIFE CHRISTIAN CENTER,4815-25 STENTON AVE
BETTER WAY BIBLE CHURCH,3131 W CUMBERLAND ST
BETTY A. AND D. WALTER COHEN AUDITORIUMS,2900 W QUEEN LN
BEULAH BAPTIST CHRISTIAN DAY SCHOOL,5001-21 SPRUCE ST
BEULAH BAPTIST CHURCH,5001-21 SPRUCE ST
BEURY HALL,1801 N BROAD ST
BIBLE BELIEVING BAPTIST CHURCH,5146 N 10TH ST
BIBLE FELLOWSHIP CHURCH-GOD,1545 JEFFERSON ST
BIBLE MINISTRIES FELLOWSHIP CHURCH,413-25 E CHELTEN AVE
BIBLE TABERNACLE BAPTIST CHURCH,2555-61 GERMANTOWN AVE
BIBLE UNION FELLOWSHIP CHURCH,6049-51 PINE ST
BIBLE WAY BAPTIST CHURCH,1323-27 N 52ND ST
BIBLE WAY OF DELIVERANCE FELLOWSHIP CHURCH,909-11 DIAMOND ST
BIBLEWAY EVANGELISTIC CHURCH,5700 SPRINGFIELD AVE
BIBLEWAY FREEWILL BAPTIST CHURCH,1201 E MOUNT PLEASANT AVE
BIG BACKYARD PRE-K,226 E GOWEN AVE
BIG CAT FALLS,3400 W GIRARD AVE
BILLY,1800 WALNUT ST
BIOLOGY-LIFE SCIENCES BUILDING,1801 N BROAD ST
BIOSOLIDS RECYCLING CENTER,7990 PENROSE FERRY RD
BIRNEY PREPARATORY ACADEMY,900-14 LINDLEY AVE
BIRTH OF A NATION,KELLY DR
BISHOP HOFFMAN REFORMED EPSCPL,6701 FRANKFORD AVE
BISHOP WHITE HOUSE,309 WALNUT ST
"BLACK, COYLE & MCBRIDE PLAYGROUND",2150-72 E HUNTINGDON ST
"BLACK, COYLE & MCBRIDE PLAYGROUND BUILDING",2150-72 E HUNTINGDON ST
BLAIR CHRISTIAN ACADEMY & PRESCHOOL,212-20 W UPSAL ST
BLESSED BEGINNINGS LEARNING,5030 BROWN ST
BLESSED MOTHER SHRINE,5101 PARKSIDE AVE
BLESSED TRINITY REGIONAL CATHOLIC SCHOOL,3001 LEVICK ST
BLOCKLEY HALL,3401-99 SPRUCE ST
BLUE CROSS RIVERRINK,1 S CHRISTOPHER COLUMBUS BLVD
BLUE GRASS SHOPPING CENTER,9125 MARSHALL ST
BLUE HORIZON,1314-16 N BROAD ST
BLUE AND GOLD DINING COMMONS,625-35 E WISTER ST
BLUEMLE LIFE SCIENCES BUILDING,800-34 WALNUT ST
BOATHOUSE #13 BOAT SHED,13 KELLY DR
BOBST BUILDING,222-48 N BROAD ST
BOCCE COURT,6600 VINE ST
BODINE BUILDING,800-34 WALNUT ST
BOK,1901 S 9TH ST
BONNELL BUILDING,1600 SPRING GARDEN ST
BOOK WORMS EARLY LEARNING CENTER CHILD CARE SCHOOL DAY CARE,309 N 3RD ST
BOOKSTORE,3401-99 SPRUCE ST
BOOKSTORE / COMMUNICATION SERVICES / PHOTO ID,800-34 WALNUT ST
BOONE PARK,4200 BOONE ST
BORBECK SHOPPING CENTER,7900-10 E ROOSEVELT BLVD
BORDEAUX HALL,2035 S COLLEGE AVE
BOULDER BASIN,BELMONT AVE & N HORTICULTURAL DR
BOULEVARD CHURCH,8351 E ROOSEVELT BLVD
BOULEVARD PLAZA,11000 E ROOSEVELT BLVD
BOULEVARD STATION POST OFFICE,2809 LEVICK ST
BOXER'S TRAIL,RESERVOIR DR TO SCHUYLKILL TRL
BOY'S LATIN OF PHILADELPHIA CHARTER SCHOOL,5501 CEDAR AVE
BOYCE ATHLETIC FIELD,5801 HENRY AVE
BOYCE FIELD,5801 HENRY AVE
BOYS AND GIRLS CLUB,1801 W HUNTING PARK AVE
BOYS AND GIRLS CLUBS OF SOUTH PHILADELPHIA,2433 S 15TH ST
BRADFORD PARK,2400 FAUNCE ST
BRAND NEW LIFE CHRISTIAN CENTER,6301-07 GERMANTOWN AVE
BRIDESBURG BOYS AND GIRLS CLUB,2901 BRIDGE ST
BRIDESBURG ELEMENTARY SCHOOL,2824-26 JENKS ST
BRIDESBURG FATHER'S CLUB FIELD,4101R RICHMOND ST
BRIDESBURG POST OFFICE,2734 ORTHODOX ST
BRIDESBURG RECREATION CENTER,4625 RICHMOND ST
BRIDESBURG RECREATION CENTER BUILDING,4625 RICHMOND ST
BRIDESBURG UNITED METHODIST CHURCH,2719 KIRKBRIDE ST
BRIGHT HOPE BAPTIST CHURCH,1601-51 N 12TH ST
BRIGHTSIDE ACADEMY,105-35 W ERIE AVE
BRIGHTSIDE ACADEMY,143-53 MAPLEWOOD AVE
BRIGHTSIDE ACADEMY,1627-29 MEADOW ST
BRIGHTSIDE ACADEMY,1701 W LEHIGH AVE
BRIGHTSIDE ACADEMY,1705-13 JACKSON ST
BRIGHTSIDE ACADEMY,2013 N 22ND ST
BRIGHTSIDE ACADEMY,217-31 W LEHIGH AVE
BRIGHTSIDE ACADEMY,2300-04 W ALLEGHENY AVE
BRIGHTSIDE ACADEMY,2501-33 KENSINGTON AVE
BRIGHTSIDE ACADEMY,2709-11 N BROAD ST
BRIGHTSIDE ACADEMY,2800 N AMERICAN ST
BRIGHTSIDE ACADEMY,341-57 E ALLEGHENY AVE
BRIGHTSIDE ACADEMY,4047-51 LANCASTER AVE
BRIGHTSIDE ACADEMY,4831 LANCASTER AVE
BRIGHTSIDE ACADEMY,5422-24 MEDIA ST
BRIGHTSIDE ACADEMY,543-53 W COURTLAND ST
BRIGHTSIDE ACADEMY LC,6000 CASTOR AVE
BRINGHURST PARK,200 E BRINGHURST ST
BROAD ST SUBWAY STATION FERN ROCK,PARK & GRANGE AVENUES
BROAD ST SUBWAY STATION WYOMING,BROAD ST & WYOMING AVE
BROAD STREET ANIMAL HOSPITAL,5907 N BROAD ST
BROTHERLY CHURCH OF GOD,314-34 E LUZERNE ST
BRYANT BAPTIST CHURCH,1144 S 19TH ST
BUCKLEY PARK,8199 GERMANTOWN AVE
BUDDHIST TEMPLE,2353-55 S MARSHALL ST
BUERGER EARLY LEARNING CENTER,619-29 N BROAD ST
BUILDING 21 HIGH SCHOOL,2000-46 N 7TH ST
BUILDING BLOCKS CHILD DEVELOPMENT CENTER,625-35 E WISTER ST
BUIST PARK,2528 HOBSON ST
BUISTLETON SQUARE PLAZA,7919 BUSTLETON AVE
BULLDOG PARK,2501 PENNSYLVANIA AVE
BURGESS CENTER,200-20 W CHELTEN AVE
BURHOLME BAPTIST CHURCH,935 COTTMAN AVE
BURHOLME GOLF COURSE BUILDING,7370 CENTRAL AVE
BURHOLME GOLF GARAGE,7370 CENTRAL AVE
BURHOLME PARK,7370 CENTRAL AVE
BURHOLME PARK RESTROOMS,7370 CENTRAL AVE
BURHOLME PARK SPORT FACILITY,7370 CENTRAL AVE
BURKE PLAYGROUND,200 SNYDER AVE
BURKE PLAYGROUND BUILDING,200 SNYDER AVE
BUSHFIRE THEATRE OF PERFORMING ARTS,228-36 S 52ND ST
BUSTLETON COTTMAN SHOPPING CENTER,2100 BLEIGH AVE
BUSTLETON RED LION SHOPPING CENTER,842-54 RED LION RD
BUSTLETON STATION POST OFFICE,9925 BUSTLETON AVE
BUSTLETON WELSH SHOPPING CENTER,1916-28 WELSH RD
BUSTLETON/ROBBINS SHOPPING CENTER,6210-44 BUSTLETON AVE
BUTLER ST PLAY LOT,917 W BUTLER ST
BUTLET MEMORIAL BAPTIST CHURCH,1208-12 S 35TH ST
BUTTERCUP COTTAGE,7700 CRESHEIM RD
BUTTERCUP COTTAGE BARN RUINS,7450 EMLEN ST
BUTTON SHED,4516 RIDGE AVE
BUTTONS & BOWS,5843 MARKET ST
BYBERRY CEMETERY,3001 BYBERRY RD
