EXTENSIONS,EXTS,EXTS,1,
EXPRESSWAY,EXWY,EXPY,0,
HEIGHTS,HEIGHT,HTS,0,
HEIGHTS,HEIGHTS,HTS,0,
HEIGHTS,HGTS,HTS,0,
HEIGHTS,HTS,HTS,1,
HIGHWAY,HGWY,HWY,0,
HIGHWAY,HIGHWAY,HWY,0,
HIGHWAY,HIGHWY,HWY,0,
HILL,HILL,HL,0,
HIGHWAY,HIWAY,HWY,0,
HIGHWAY,HIWY,HWY,0,
HILL,HL,HL,1,
HIGHWAY,HWAY,HWY,0,
HIGHWAY,HWY,HWY,1,
LANE,LA,LN,0,
LANDING,LANDING,LNDG,0,
LANE,LANE,LN,0,
LANE,LANES,LN,0,
LANE,LLN,LN,0,$
LANE,LN,LN,1,
LANE,LNLN,LN,0,$
MALL,MAL,MALL,0,$
MALL,MALL,MALL,1,
MALL,ML,MALL,0,
MEWS,MEW,MEWS,0,
MEWS,MEWS,MEWS,1,
PARK,PARK,PARK,1,
PARKS,PARKS,PARK,0,
PARKS,PRK,PARK,0,
PARKWAY,PARKWAY,PKWY,0,
PARKWAYS,PARKWAYS,PKWY,0,
PARKWAY,PARKWY,PKWY,0,
PATH,PATH,PATH,1,
PATH,PATHS,PATH,0,
PIKE,PIKE,PIKE,1,
PIKE,PIKES,PIKE,0,
PIKE,PK,PIKE,0,
PIKE,PKE,PIKE,0,
PARKWAY,PKWAY,PKWY,0,
PARKWAY,PKWY,PKWY,1,
PARKWAYS,PKWYS,PKWY,0,
PARKWAY,PKY,PKWY,0,
PLACE,PL,PL,1,
PLACE,PLACE,PL,0,
PLAZA,PLZ,PLZ,1,
PLAZA,PLAZA,PLZ,0,
PARKWAY,PWY,PKWY,0,
PARKWAY,PKW,PKWY,0,
RAMP,RAMP,RAMP,1,
ROAD,RD,RD,1,
ROAD,ROAD,RD,0,
ROW,ROW,ROW,1,
RUN,RUN,RUN,1,
SPUR,SPUR,SPUR,1,
SPURS,SPURS,SPUR,0,
SQUARE,SQ,SQ,1,
SQUARE,SQR,SQ,0,
SQUARE,SQRE,SQ,0,
SQUARE,SQU,SQ,0,
SQUARE,SQUARE,SQ,0,
STREET,ST,ST,1,
STREET,SRTEET,ST,0,
STREET,STREE,ST,0,
STREET,STR,ST,0,
STREET,STRET,ST,0,
STREET,STREET,ST,,
STREET,STREER,ST,0,
STREET,STREEET,ST,0,
STREET,STEEET,ST,0,
STREET,STTEET,ST,0,
STREET,STEET,ST,0,
STREET,STREETS,ST,0,
TERRACE,TER,TER,1,
TERRACE,TERR,TER,0,
TERRACE,TR,TER,0,
TERRACE,TERRACE,TER,0,
TURNPIKE,TNPK,TPKE,0,$
TURNPIKE,TPK,TPKE,0,
TURNPIKE,TPKE,TPKE,1,
TRAIL,TRAIL,TRL,0,
TRAIL,TRAILS,TRL,0,
TRAIL,TRL,TRL,1,
TRAIL,TRLS,TRL,0,
TURNPIKE,TRNPK,TPKE,0,
TURNPIKE,TRPK,TPKE,0,
TUNNEL,TUNL,TUNL,1,
TUNNEL,TUNLS,TUNL,0,
TUNNEL,TUNNEL,TUNL,0,
TUNNEL,TUNNELS,TUNL,0,
TUNNEL,TUNNL,TUNL,0,
TURNPIKE,TURN,TPKE,0,
TURNPIKE,TURNPIKE,TPKE,0,
TURNPIKE,TURNPK,TPKE,0,
VILLAGE,VILL,VLG,0,
VILLAGE,VILLAG,VLG,0,
VILLAGE,VILLAGE,VLG,0,
VILLAGE,VILLG,VLG,0,
VILLAGE,VILLIAGE,VLG,0,
VILLAGE,VLG,VLG,1,
VALLEY,VLLY,VLY,0,
VALLEY,VLY,VLY,1,
WALK,WALK,WALK,1,
WALKS,WALKS,WALK,0,
WAY,WAY,WAY,1,
WALKS,WK,WALK,0,
WALKS,WLK,WALK,0,
WAY,WY,WAY,0,
